POL,SERVICIO - VIA,POD, OF W/M , OTHERS(*) W/M , BL  , SOLAS ,TT APROX
RIO DE JANEIRO,SANTOS,SAN ANTONIO,USD 79,USD 6,USD 0,USD 0,16 a 18 días
CANOAS,SANTOS,SAN ANTONIO,USD 79,USD 6,USD 0,USD 0,16 a 18 días
CURITIBA,SANTOS,SAN ANTONIO,USD 79,USD 6,USD 0,USD 0,16 a 18 días
ITAJAI,SANTOS,SAN ANTONIO,USD 79,USD 6,USD 0,USD 0,16 a 18 días
SANTOS,DIRECTO,SAN ANTONIO,USD 59,USD 6,USD 0,USD 0,13 a 15 días
BUENAVENTURA,DIRECTO,SAN ANTONIO,USD 20,USD 0,USD 25,USD 0,11 a 13 días
CALLAO,DIRECTO,SAN ANTONIO,USD 10,USD 0,USD 0,USD 0,8 a 10 días
MANZANILLO - MX,DIRECTO,SAN ANTONIO - VALPARAISO,USD 10,USD 0,USD 0,USD 0,21 a 23 días
MIAMI,DIRECTO,SAN ANTONIO,USD 45,USD 0,USD 0,USD 10,22 a 24 días
NEW YORK,MIAMI,SAN ANTONIO,USD 47,USD 8,USD 10,USD 10,27 a 29 días
CHICAGO,MIAMI,SAN ANTONIO,USD 75,USD 8,USD 10,USD 10,26 a 28 días
HOUSTON,MIAMI,SAN ANTONIO,USD 85,USD 8,USD 10,USD 10,29 a 31 días
ATLANTA,MIAMI,SAN ANTONIO,USD 87,USD 8,USD 10,USD 10,30 a 32 días
BALTIMORE,MIAMI,SAN ANTONIO,USD 87,USD 8,USD 10,USD 10,35 a 37 días
BOSTON,MIAMI,SAN ANTONIO,USD 87,USD 8,USD 10,USD 10,35 a 37 días
CHARLESTON,MIAMI,SAN ANTONIO,USD 122,USD 8,USD 10,USD 10,30 a 32 días
CHARLOTTE,MIAMI,SAN ANTONIO,USD 132,USD 8,USD 10,USD 10,30 a 32 días
CINCINNATI,MIAMI,SAN ANTONIO,USD 132,USD 8,USD 10,USD 10,35 a 37 días
CLEVELAND,MIAMI,SAN ANTONIO,USD 102,USD 8,USD 10,USD 10,35 a 37 días
COLUMBUS,MIAMI,SAN ANTONIO,USD 132,USD 8,USD 10,USD 10,35 a 37 días
DALLAS,MIAMI,SAN ANTONIO,USD 152,USD 8,USD 10,USD 10,34 a 36 días
DETROIT,MIAMI,SAN ANTONIO,USD 147,USD 8,USD 10,USD 10,35 a 37 días
INDIANAPOLIS,MIAMI,SAN ANTONIO,USD 142,USD 8,USD 10,USD 10,35 a 37 días
NEW ORLEANS,MIAMI,SAN ANTONIO,USD 132,USD 8,USD 10,USD 10,32 a 34 días
NORFOLK,MIAMI,SAN ANTONIO,USD 112,USD 8,USD 10,USD 10,34 a 36 días
PHILADELPHIA,MIAMI,SAN ANTONIO,USD 112,USD 8,USD 10,USD 10,35 a 37 días
PORTLAND,LOS ANGELES,SAN ANTONIO,USD 132,USD 8,USD 10,USD 10,34 a 36 días
SEATTLE,LOS ANGELES,SAN ANTONIO,USD 117,USD 8,USD 10,USD 10,34 a 36 días
LOS ANGELES,DIRECTO,SAN ANTONIO,USD 87,USD 8,USD 10,USD 10,30 a 32 días
MONTREAL,MIAMI,SAN ANTONIO,USD 139,USD 8,USD 15,USD 10,44 a 46 días
TORONTO,MIAMI,SAN ANTONIO,USD 144,USD 8,USD 15,USD 10,40 a 42 días
